Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
130,4.53,27.94%,0.0039,0.01273084
131,7.7,36.74%,0.0014,0.006819428
132,18.7,2.69%,0.005,0.09098485
133,3.7,33.10%,0.0083,0.02054499
134,4.61,3.95%,0.0008,0.003542324
135,12.01,23.40%,0.0028,0.025759048
136,23.35,36.89%,0.0099,0.145888232
137,6.95,34.73%,0.0072,0.032661108
138,8.99,29.33%,0.0073,0.046378601
139,4.43,21.00%,0.0063,0.02204811
140,10.27,7.30%,0.0041,0.039033189
141,22.71,24.70%,0.0067,0.114574221
142,17.95,38.31%,0.0006,0.006644013
143,20.48,30.63%,0.0039,0.055407206
144,19.79,33.64%,0.0042,0.055157105
145,12.04,14.15%,0.003,0.03100902
146,6.02,28.75%,0.0049,0.021017325
147,21.42,20.64%,0.0062,0.105393254
148,6.41,35.78%,0.008,0.032932016
149,2.91,6.58%,0.0007,0.001902965
150,24.69,7.65%,0.0062,0.141367533
151,20.65,32.09%,0.0095,0.133222443
152,22.59,10.93%,0.0028,0.056338556
153,7.85,13.06%,0.0076,0.051868404
154,15.23,6.70%,0.0035,0.049733565
155,17.09,37.73%,0.0002,0.002128389
156,2.28,9.97%,0.0062,0.012726641
157,18.73,22.53%,0.0049,0.071099642
158,20.65,12.98%,0.0042,0.075472446
159,4.31,11.48%,0.0021,0.008011945
160,15.91,24.35%,0.0023,0.027682605
161,17.97,19.94%,0.0061,0.08775937
162,15.48,6.93%,0.0016,0.023051578
163,18.75,4.93%,0.0017,0.030303563
164,6.65,27.29%,0.0047,0.022725511
165,15.94,13.04%,0.0002,0.002772285
166,6.64,30.41%,0,0
167,17.29,35.48%,0.0092,0.102630674
168,21,38.65%,0.0076,0.0979146
169,5.07,26.56%,0.0091,0.033883013
170,2.62,26.87%,0.0023,0.004406814
171,16.14,22.56%,0.0064,0.079992422
172,1.96,26.50%,0.003,0.0043218
173,10.48,29.41%,0.0076,0.056223523
174,20.01,36.15%,0.009,0.114987465
175,7.4,26.02%,0.0067,0.036679284
176,23.68,30.66%,0.0045,0.073888704
177,4.8,36.15%,0.0096,0.02942208
178,7.34,39.28%,0.0044,0.019610131
179,21.63,24.63%,0.0092,0.149983285
180,6.29,4.94%,0.0016,0.009566838
181,15.18,15.49%,0.003,0.038485854
182,22.72,1.53%,0.0002,0.004474477
183,13.28,17.18%,0.0059,0.064891126
184,2.47,31.07%,0.0046,0.007831827
185,18.02,14.60%,0.0055,0.08463994
186,18.3,36.79%,0.0054,0.062464122
187,10.47,22.89%,0.0062,0.050055185
188,23.76,0.11%,0.0017,0.040347569
189,9.02,28.30%,0.0046,0.029749764
190,10.52,28.79%,0.0057,0.042700364
191,16.75,22.87%,0.0047,0.060720593
192,8.05,28.58%,0.0016,0.009198896
193,23.17,26.33%,0.0067,0.114364571
194,3.37,11.42%,0.0055,0.016418303
195,8.79,38.51%,0.0049,0.026484358
196,5.81,2.84%,0.0075,0.04233747
197,21.12,31.13%,0.0062,0.090181133
198,1.61,15.47%,0.0066,0.008982158
199,5.69,7.61%,0.003,0.015770973
200,13.74,30.89%,0.0062,0.058873427
201,14.14,4.67%,0.0039,0.052570682
202,18.39,6.44%,0.0059,0.101513536
203,12.38,6.97%,0.001,0.011517114
204,16.33,21.12%,0.0009,0.011592994
205,14.06,20.09%,0.0044,0.049435522
206,1.5,14.73%,0.001,0.00127905
207,19.49,20.49%,0.0099,0.15341534
208,11.41,12.84%,0.003,0.029834868
209,21.18,37.26%,0.0092,0.122252654
210,19.71,18.65%,0.0054,0.086584059
211,3.62,7.53%,0.0023,0.007699052
212,8.08,16.41%,0.0058,0.039173618
213,14.72,23.82%,0.008,0.089709568
214,15.17,38.68%,0.0014,0.013023142
215,13.1,12.87%,0.007,0.07989821
216,18.51,35.35%,0.0097,0.116077136
217,9.59,3.24%,0.0012,0.011135141
218,8.53,33.21%,0.0017,0.009685218
219,10.46,1.37%,0.0064,0.066026867
220,14.35,3.28%,0.0093,0.129077676
221,7.34,3.79%,0.0042,0.029659619
222,9.67,4.09%,0.0059,0.054719532
223,10.57,4.11%,0.0079,0.080071027
224,16.45,20.32%,0.0078,0.102237408
225,22.45,11.58%,0.0081,0.160787349
226,8.69,19.33%,0.0089,0.062390985
227,14.71,31.61%,0.002,0.020120338
228,11.3,34.09%,0,0
229,9.45,14.12%,0.004,0.03246264
230,19.75,38.81%,0.0023,0.027795558
231,9.31,34.71%,0.0013,0.007902049
232,1.87,37.17%,0.0051,0.005992097
233,6.28,13.94%,0.0048,0.025941926
234,23.05,27.71%,0.0009,0.014996561
235,17.28,17.96%,0.0022,0.031188326
236,2.98,35.28%,0.0076,0.014657786
237,0.09,33.54%,0.0057,0.00034094
238,2.34,27.12%,0.0064,0.010914509
239,7.24,25.80%,0.0008,0.004297664
240,14.18,28.87%,0.0011,0.011094857
241,19.89,27.58%,0.0056,0.080664293
242,4.61,30.67%,0.0083,0.026527738
243,22.55,19.51%,0.0039,0.070786931
244,14.7,34.72%,0.0019,0.018232704
245,9.6,5.04%,0.0037,0.033729792
246,1.51,27.56%,0.0061,0.006672448
247,22.18,17.54%,0.0006,0.010973777
248,19.02,34.45%,0.0019,0.023688459
249,0.3,35.13%,0.0018,0.000350298
250,2.17,2.64%,0.0059,0.012465001
251,20.63,36.87%,0.004,0.052094876
252,12.63,24.75%,0.0007,0.006652853
253,23.51,31.82%,0.0082,0.131438768
254,13.39,6.91%,0.0004,0.0049859
255,12.51,38.56%,0.0015,0.011529216
256,21.75,2.25%,0.0093,0.197723813
257,2.08,36.27%,0.0062,0.008218621
258,0.82,16.07%,0.0031,0.002133501
259,9.8,4.90%,0.0077,0.07176246
260,14.3,37.01%,0.0013,0.011709841
261,23.06,24.36%,0.0047,0.081980145
262,3.57,13.95%,0.0036,0.011059146
263,0.52,12.56%,0.0095,0.004319536
264,5.25,25.19%,0.0038,0.014924595
265,5.03,37.77%,0.0024,0.007512406
266,14.67,38.05%,0.0027,0.024537776
267,20.59,28.61%,0.005,0.073496005
268,22.42,20.89%,0.0001,0.001773646
269,18.79,26.90%,0.001,0.01373549
270,22.11,30.98%,0.0043,0.065619385
271,2.55,16.07%,0.0081,0.017335742
272,5.04,10.19%,0.0026,0.011768702
273,2.31,10.09%,0.0093,0.019315365
274,15.37,31.97%,0.0004,0.004182484
275,21.05,29.96%,0.0013,0.019166446
276,23,31.16%,0.0051,0.08074932
277,14.81,30.02%,0.0085,0.088094323
278,22.92,37.66%,0.0067,0.095731798
279,16.32,10.00%,0.0076,0.1116288
280,20.65,25.77%,0.0012,0.018394194
281,6.99,15.28%,0.0073,0.043230074
282,12.09,8.21%,0.0089,0.098766958
283,18.62,1.06%,0.0012,0.022107154
284,9.49,20.89%,0.0077,0.05780805
285,10.81,0.90%,0.0068,0.072846428
286,3.06,2.92%,0.0046,0.013664981
287,7.65,11.79%,0.0073,0.049260875
288,18.67,33.79%,0.002,0.024722814
289,9.98,19.38%,0.0058,0.046666081
290,11.76,13.70%,0.0054,0.054803952
291,13.94,25.68%,0.0039,0.040404811
292,9.54,35.38%,0.0051,0.031440215
293,1.52,37.79%,0.0019,0.001796625
294,13.13,16.92%,0.0088,0.095993955
295,19.85,31.76%,0.0089,0.120556196
296,9.46,3.70%,0.0031,0.028240938
297,14.66,7.87%,0.0061,0.082388174
298,6.46,39.48%,0.0033,0.012901654
299,14.97,34.05%,0.0092,0.090828978
300,3.22,21.69%,0.0091,0.022946396
301,20.57,24.25%,0.0064,0.09972336
302,17.22,21.78%,0.0094,0.12661315
303,8.43,21.13%,0.0054,0.035903201
304,10.55,28.77%,0.001,0.007514765
305,21.27,37.56%,0.0052,0.069061138
306,13.69,14.89%,0.0059,0.068744198
307,12.25,31.68%,0.0096,0.08034432
308,3.38,10.36%,0.0063,0.019087942
309,1.66,23.75%,0.0045,0.005695875
310,7.41,3.09%,0.0084,0.06032066
311,6.07,25.04%,0.0024,0.010920173
312,8.11,2.37%,0.0002,0.001583559
313,20.6,10.27%,0.0087,0.160814106
314,13.4,16.68%,0.0096,0.107182848
315,18.16,18.82%,0.006,0.088453728
316,10.29,26.62%,0.0013,0.009816043
317,2.98,23.74%,0.0025,0.00568137
318,13.91,14.85%,0.0059,0.069881754
319,6.81,33.82%,0.0003,0.001352057
320,5.88,20.22%,0.002,0.009382128
321,14.15,33.38%,0.0007,0.006598711
322,24.88,32.24%,0.0059,0.099466259
323,12.32,12.58%,0.0084,0.09046921
324,3.73,4.23%,0.0066,0.023576659
325,5.62,5.11%,0.0069,0.036796444
326,18.25,0.93%,0.0056,0.10124954
327,6.13,22.96%,0.0028,0.013223146
328,13.23,10.68%,0.0076,0.089809474
329,19.28,30.00%,0.0068,0.0917728
330,13.28,7.09%,0.0063,0.077732222
331,3.84,37.28%,0.0048,0.01156055
332,21.84,13.71%,0.0092,0.173380771
333,17.91,8.13%,0.0082,0.134922119
334,3.67,13.90%,0.0085,0.026858895
335,19.08,23.12%,0.0002,0.002933741
336,20.58,38.02%,0.0065,0.082910646
337,0.99,30.33%,0.0092,0.006345544
338,9.13,38.84%,0.0033,0.018426896
339,24.23,6.66%,0.0099,0.223901192
340,10.97,39.52%,0.0085,0.056394576
341,20.23,10.89%,0.0096,0.173058749
342,8.49,20.49%,0.0046,0.031051835
343,21.12,20.01%,0.0036,0.060817997
344,3.78,3.90%,0.0011,0.003995838
345,16.1,22.54%,0.0052,0.064849512
346,3.89,13.68%,0.0047,0.015781886
347,9.09,18.02%,0.0011,0.00819718
348,3.51,29.99%,0.0076,0.018675868
349,15.73,33.88%,0.001,0.010400676
350,1.62,4.79%,0.0048,0.00740353
351,12.02,15.49%,0.0027,0.027426875
352,18.82,33.52%,0.0012,0.015013843
353,8.81,8.92%,0.0083,0.066600428
354,16.97,33.43%,0.0085,0.096023897
355,8.23,7.45%,0.0017,0.012948671
356,4.61,28.55%,0.0049,0.016139841
357,5.21,34.67%,0.0077,0.026208436
358,21.55,27.47%,0.0059,0.092218269
359,8.45,8.21%,0.0035,0.027146893
360,10.16,17.22%,0.0059,0.049621643
361,20.56,10.63%,0.0085,0.156183012
362,12.55,1.86%,0.0006,0.007389942
363,14.71,6.77%,0.002,0.027428266
364,0.48,18.77%,0.0065,0.002534376
365,15.17,28.94%,0.0024,0.025871525
366,2.03,25.03%,0.0024,0.003652538
367,2.59,30.20%,0.0042,0.007592844
368,24.05,13.69%,0.0068,0.141151374
369,14.22,27.96%,0.0062,0.063513346
370,19.21,28.45%,0.0035,0.048106643
371,18.31,30.91%,0.0059,0.074637236
372,17.45,20.59%,0.001,0.013857045
373,9.12,32.01%,0.0091,0.056426261
374,1.31,31.71%,0.0024,0.002147038
375,5.66,39.31%,0.0081,0.027823937
376,15.01,7.95%,0.0069,0.095335265
377,10.92,15.00%,0.0062,0.0575484
378,3.05,24.13%,0.007,0.016198245
379,0.39,35.70%,0.0077,0.001930929
380,23.23,2.87%,0.0069,0.155686763
381,13.26,19.48%,0.0053,0.056587846
382,12.7,24.02%,0.0041,0.039562786
383,22.58,30.24%,0.0037,0.05828169
384,19.86,7.27%,0.0045,0.082872801
385,8.9,2.27%,0.0029,0.025224113
386,24.28,7.86%,0.0093,0.208055806
387,13.55,3.86%,0.0037,0.048199789
388,8.65,4.12%,0.0049,0.040638738
389,3.4,24.88%,0.0019,0.004852752
390,22.05,4.03%,0.0059,0.124852172
391,20.98,26.35%,0.0049,0.075713673
392,21.26,21.94%,0.0007,0.011616889
393,2.59,35.57%,0.0005,0.000834369
394,21.77,31.70%,0.0014,0.020816474
395,17.66,17.73%,0.0068,0.098796398
396,5.01,35.97%,0.0027,0.008661338
397,14.17,31.43%,0.0042,0.04080875
398,4.15,18.68%,0.0071,0.023960938
399,11.27,36.62%,0.0076,0.054286238
400,6.16,29.76%,0.0021,0.009086246
401,7.46,32.65%,0.0076,0.038184756
402,8.37,33.23%,0.0084,0.046944652
403,21.24,38.76%,0.0023,0.029916965
404,10,37.05%,0.0007,0.0044065
405,21.68,37.08%,0.0072,0.098215603
406,4.29,34.71%,0.0077,0.021567246
407,20.83,22.25%,0.0078,0.126323535
408,12.47,6.52%,0.0081,0.094421344
409,0.4,25.32%,0.0017,0.000507824
410,15.16,13.04%,0.0095,0.125239792
411,15.32,36.40%,0.0035,0.03410232
412,20.3,15.49%,0.0087,0.149253111
413,22.85,28.12%,0.0091,0.149463678
414,2.15,23.14%,0.0097,0.016029153
415,22.73,37.87%,0.0083,0.117213837
416,22.63,2.74%,0.0015,0.033014907
417,23.48,39.50%,0.0079,0.11222266
418,2.23,21.37%,0.0055,0.00964397
419,1.38,37.92%,0.0096,0.008224358
420,16.04,18.19%,0.0072,0.094480733
421,17.37,31.79%,0.0063,0.074642885
422,4.09,3.06%,0.0002,0.000792969
423,9.84,28.29%,0.0071,0.050099474
424,0.88,37.64%,0.0049,0.002688963
425,24.91,35.30%,0.0075,0.120875775
426,15.98,20.84%,0.0073,0.092343306
427,16.38,32.55%,0.0079,0.087281649
428,15.55,13.85%,0.0039,0.052245668
429,12.22,0.72%,0.0003,0.003639605
430,0.91,38.70%,0.0022,0.001227226
431,12.92,33.15%,0.0037,0.031956974
432,14.55,6.09%,0.0007,0.009564734
433,8.76,1.79%,0.0015,0.012904794
434,16.71,13.29%,0.0036,0.052161268
435,13.01,30.73%,0.0093,0.083811851
436,18.33,12.63%,0.0079,0.126517876
437,9.93,12.86%,0.0008,0.006922402
438,22.13,24.80%,0.0018,0.029955168
439,5.31,1.90%,0.001,0.00520911
440,23.31,8.43%,0.0058,0.123800809
441,0.87,38.23%,0.006,0.003224394
442,7.52,32.11%,0.0075,0.03828996
443,12.35,29.90%,0.0056,0.04848116
444,17.93,32.76%,0.0064,0.077159245
445,14.02,38.14%,0.005,0.04336386
446,11.96,35.81%,0.0044,0.033779346
447,2.86,18.07%,0.0088,0.020620142
448,12.56,22.77%,0.0007,0.006790062
449,16.34,17.66%,0.0063,0.084762443
450,3.94,35.51%,0.0088,0.022359973
451,16.18,24.11%,0.0066,0.081041413
452,9,27.26%,0.0094,0.06153804
453,10.55,25.64%,0.0045,0.03530241
454,12.74,7.88%,0.0029,0.034034655
455,13.42,16.30%,0.0099,0.111202146
456,7.85,12.29%,0.0062,0.042688457
457,20.62,30.72%,0.0071,0.101427306
458,8.74,23.78%,0.0093,0.06195314
459,22.31,27.44%,0.0086,0.13921797
460,18.03,39.31%,0.0018,0.019696333
461,9.26,11.70%,0.0061,0.049877138
462,16.42,4.95%,0.0029,0.045260909
463,17.44,7.15%,0.0044,0.071249376
464,13.68,5.65%,0.0045,0.05808186
465,0.87,16.26%,0.0072,0.005245474
466,11.86,21.94%,0.0086,0.079618078
467,7.23,19.56%,0.0084,0.048852821
468,3.76,22.15%,0.0031,0.009074196
469,19.91,8.86%,0.0079,0.143353195
470,19.8,39.34%,0.0099,0.118905732
471,20,14.32%,0.0071,0.1216656
472,24.13,3.05%,0.0013,0.030412246
473,7.55,12.75%,0.009,0.059286375
474,5.89,5.71%,0.0053,0.029434509
475,23.96,37.06%,0.0017,0.025636721
476,13.42,29.38%,0.0066,0.062549546
477,15.49,37.89%,0.0048,0.046180027
478,15.55,10.19%,0.0027,0.037706729
479,20.51,39.36%,0.0037,0.046017877
480,4.65,33.18%,0.0012,0.003728556
481,22.71,3.42%,0.0004,0.008773327
482,2.05,10.38%,0.0001,0.000183721
483,16.56,1.98%,0.0015,0.024348168
484,24.01,36.10%,0.0058,0.088985862
485,23.02,9.10%,0.0006,0.012555108
486,8.97,32.24%,0.0018,0.01094053
487,13.88,39.92%,0.006,0.050034624
488,18.85,16.45%,0.0011,0.017324093
489,21.34,24.76%,0.0074,0.118815998
490,6.59,12.45%,0.0076,0.043848542
491,23.48,18.00%,0.0042,0.08086512
492,18.09,13.18%,0.0012,0.018846886
493,24.38,23.06%,0.0003,0.005627392
494,8.36,38.75%,0.0001,0.00051205
495,18.87,28.97%,0.0092,0.123310921
496,21.33,19.74%,0.0018,0.030815024
497,4.94,0.80%,0.0046,0.022542208
498,9.45,4.01%,0.0035,0.031748693
499,12.8,23.68%,0.0006,0.005861376
500,24.25,29.88%,0.0027,0.04591107
501,7.77,4.90%,0.0047,0.034729569
502,10.42,3.35%,0.0001,0.001007093
503,16.48,29.40%,0.0047,0.054683936
504,19.35,2.51%,0.009,0.169778835
505,21.98,5.39%,0.0061,0.126851196
506,13.6,35.45%,0.0047,0.04126036
507,7.29,16.18%,0.004,0.024441912
508,10.15,1.36%,0.0045,0.04505382
509,5.39,22.31%,0.0032,0.013399971
510,21.44,17.91%,0.0037,0.065120355
511,23.4,29.22%,0.005,0.0828126
512,5.89,35.80%,0.0056,0.021175728
513,20.24,34.52%,0.0045,0.059639184
514,9.5,39.91%,0.0003,0.001712565
515,3.37,25.60%,0.0053,0.013288584
516,24.77,2.43%,0.0082,0.19817833
517,0.22,29.93%,0.0077,0.001186986
518,14.57,0.26%,0.0001,0.001453212
519,2.24,37.10%,0.0011,0.001549856
520,23.54,20.69%,0.0026,0.048540892
521,18.04,37.67%,0.0081,0.091079089
522,9.49,37.45%,0.0081,0.04808156
523,10.65,10.55%,0.0046,0.043821555
524,7.22,0.51%,0.0058,0.041662432
525,8,2.23%,0.0042,0.03285072
526,2.07,32.81%,0.0029,0.004033416
527,2.12,9.52%,0.003,0.005754528
528,11.5,16.10%,0.0043,0.04148855
529,13.47,27.31%,0.0012,0.011749612
530,20.43,19.11%,0.0059,0.097502379
531,7.35,35.33%,0.0037,0.017587007
532,3.85,5.49%,0.0089,0.032383852
533,23.62,14.67%,0.0021,0.042325387
534,7.2,33.12%,0.0041,0.019742976
535,16,33.50%,0.002,0.02128
536,1.11,31.53%,0.0014,0.001064024
537,18.71,36.05%,0.0094,0.112471423
538,19.4,14.22%,0.0063,0.104840316
539,4.83,23.21%,0.0018,0.006676123
540,3.15,31.35%,0.0048,0.01037988
541,8.79,13.47%,0.0053,0.040311731
542,10.49,39.32%,0.0071,0.045193857
543,20.23,12.70%,0.0002,0.003532158
544,11.53,7.46%,0.0022,0.023473696
545,7.18,31.18%,0.0018,0.008894297
546,21.12,19.59%,0.0027,0.045852998
547,2.62,6.09%,0.0026,0.006397149
548,1.96,9.92%,0.0093,0.016419782
549,10.32,6.96%,0.0008,0.007681382
550,6.69,35.20%,0.0012,0.005202144
551,6.46,39.26%,0.0082,0.032175193
552,5.58,10.18%,0.0022,0.011026303
553,5.91,39.52%,0.0068,0.024305702
554,2.13,14.00%,0.0051,0.00934218
555,1.12,30.02%,0.0007,0.000548643
556,12.7,1.46%,0.0058,0.072584564
557,14.31,7.12%,0.0039,0.051835399
558,13.02,8.21%,0.0091,0.108754628
559,20.87,2.52%,0.0052,0.105789195
560,24.51,28.54%,0.0018,0.031526723
561,14.89,33.26%,0.0075,0.074531895
562,22.45,32.05%,0.0042,0.064070055
563,22.72,8.08%,0.0003,0.006265267
564,14.06,9.98%,0.004,0.050627248
565,12.43,13.76%,0.0086,0.092188835
566,8.95,7.16%,0.0045,0.03739131
567,15.76,19.12%,0.0087,0.110896186
568,17.78,31.37%,0.0009,0.010982173
569,12.6,0.09%,0.0075,0.09441495
570,5.85,8.15%,0.0046,0.024716835
571,21.79,35.55%,0.0095,0.133414723
572,13.62,39.64%,0.0089,0.073167185
573,14.97,1.90%,0.0083,0.121890231
574,5.5,9.26%,0.0078,0.03892746
575,13.66,35.43%,0.0088,0.077618306
576,15.63,1.91%,0.002,0.030662934
577,8.17,39.39%,0.0016,0.007922939
578,18.91,21.49%,0.004,0.059384964
579,22.32,21.83%,0.0063,0.109919527
580,14.23,1.35%,0.0002,0.002807579
581,15.65,10.73%,0.0066,0.092206983
582,24.99,33.48%,0.001,0.016623348
583,12.15,31.59%,0.0053,0.04405262
584,17.66,23.34%,0.0019,0.025722496
585,4.01,37.85%,0.0016,0.003987544
586,19.36,3.05%,0.0032,0.060062464
587,2.14,12.72%,0.0089,0.016623349
588,1.39,8.89%,0.0033,0.004179216
589,9.61,11.12%,0.0057,0.048685798
590,7.43,21.73%,0.0063,0.036637404
591,15.2,34.75%,0.0074,0.0733932
592,8.56,31.22%,0.009,0.052988112
593,6.31,17.03%,0.0026,0.013612058
594,20.51,22.63%,0.0067,0.106319533
595,2.83,39.82%,0.005,0.00851547
596,19.55,21.11%,0.0026,0.040099787
597,23.26,25.28%,0.0088,0.152942874
598,6.74,22.34%,0.0093,0.048678841
599,10.15,14.27%,0.0036,0.031325742
600,15.94,39.18%,0.0034,0.032962007
601,2.22,4.55%,0.0014,0.002966586
602,3.32,25.28%,0.0036,0.008930534
603,12.34,37.73%,0.0019,0.014599824
604,18.92,16.51%,0.0061,0.096357479
605,7.98,18.90%,0.0035,0.02265123
606,22.43,10.91%,0.002,0.039965774
607,22.84,34.05%,0.0004,0.006025192
608,22.94,32.37%,0.0099,0.153591788
609,2.88,37.48%,0.0086,0.015484954
610,1.26,31.48%,0.0019,0.001640369
611,10.7,7.26%,0.0083,0.082362394
612,24.99,28.26%,0.0085,0.152386521
613,15.68,0.93%,0.0077,0.119613155
614,10.69,32.08%,0.0028,0.020329814
615,14.59,39.93%,0.0032,0.028045482
616,20.32,0.01%,0.0099,0.201147883
617,2.19,14.69%,0.0026,0.004857551
618,19.88,7.52%,0.0059,0.108471642
619,11.73,36.89%,0.0028,0.020727848
620,6.01,5.49%,0.0045,0.02556023
621,23.58,23.95%,0.0051,0.091456209
622,23.83,20.17%,0.0001,0.001902349
623,23.15,28.62%,0.0041,0.067750327
624,15.41,29.03%,0.0078,0.085304521
625,7.2,17.47%,0.0087,0.051696792
626,1.56,39.78%,0.0021,0.001972807
627,1.5,30.67%,0.0033,0.003431835
628,23.77,10.07%,0.0067,0.143221619
629,3.52,19.13%,0.0018,0.005123923
630,6.64,32.31%,0.0029,0.013034386
631,10.35,2.42%,0.0038,0.038378214
632,14.27,1.53%,0.0031,0.043560174
633,5.41,18.77%,0.0027,0.011865266
634,4.08,10.79%,0.0057,0.020746678
635,24.93,39.55%,0.009,0.135631665
636,22.98,34.75%,0.0021,0.031488345
637,1.3,36.81%,0.0026,0.002135822
